"1","E0030","F","2007-06-21","13th International Symposium on Society and Resource Management (ISSRM)","17-21 June 2007, Park City, Utah, USA","The ISSRM will host the official meeting of the International Association for Society and Natural Resources.  The theme for the 2007 symposium is ‘Landscape Continuity and Change - Social Science Perspectives and Interdisciplinary Conversations’.
","en",,,"http://www.issrm2007.org/",,,,NULL,NULL
"2","E0031","F","2007-08-21","Enquête sur les organisations et les initiatives",,"<div align=\"left\">Le secrétariat du PCLG appelle TOUS ses membres à lui envoyer des mises à jour sur les différents projets et activités menés par leurs organisations dans le domaine des interactions entre la pauvreté et la conservation. Ces renseignements seront compilés dans une note d’information qui permettra d’actualiser l’Enquête sur les organisations et les initiatives publiée en 2005 afin de la distribuer lors du Symposium de 2007. C’est là une occasion idéale de tenir les autres membres du PCLG au courant de vos travaux !</div>","fr",,,"http://www.povertyandconservation.info/docs/200512-Organisations(Giuliani).pdf",".  enquête sur les organisations et les initiatives le secrétariat du pclg appelle tous ses membres à lui envoyer des mises à jour sur les différents projets et activités menés par leurs organisations dans le domaine des interactions entre la pauvret",,,NULL,NULL
"3","E0002","L","2006-03-21","Protected Areas and Equity (Learning Event no 2)","21st March 2006, Curitiba, Brazil","A side event was held at CBD COP8 in Curitiba on March 21st 2006 highlighting the lack of attention paid to the social equity component of the CBD Programme of Work on Protected Areas.","en","D0023","M0002",,".  protected areas and equity learning event no 2 a side event was held at cbd cop8 in curitiba on march 21st 2006 highlighting the lack of attention paid to the social equity component of the cbd programme of work on protected areas 21st march 2006",,,NULL,NULL
"4","E0003","E","2006-09-19","Biodiversity In European Development Cooperation - Supporting the sustainable development of partner countries","19th - 21st September 2006, Paris, France","Organised by IUCN, the aim of this conference was to transform political commitments into concrete actions on how to pro-actively address the integration of biodiversity concerns into development cooperation programmes and policies. The outcomes of the meeting are included in a “Message from Paris” which will be taken forward by the Council of the European Union.","en",,,"http://www.countdown2010.net/paris2006/",".  biodiversity in european development cooperation supporting the sustainable development of partner countries organised by iucn the aim of this conference was to transform political commitments into concrete actions on how to pro actively address t",,,NULL,NULL
"5","E0089","E","2011-06-15","Counting on the Environment: The contribution of forests to rural livelihoods","15 June 2011, The Royal Society, London","This research policy conference aims to increase awareness about the critical links between poverty and the environment by presenting new research findings and bringing together researchers, policy makers, and practitioners. An intended outcome of the conference is to help putting the environment more firmly onto the poverty agenda, and to strengthen the case for more systematic data collection on the way in which poor people rely on forests.","en",,,"http://www.cifor.cgiar.org/pen/_ref/london-conference",".  counting on the environment the contribution of forests to rural livelihoods this research policy conference aims to increase awareness about the critical links between poverty and the environment by presenting new research findings and bringing t",,,NULL,NULL
"6","E0005","E","2006-11-02","Linking Nature Conservation and Poverty Reduction","2nd - 4th November 2006, Vilm, Germany","The German Federal Agency for Nature Conservation (Bundesamt fuer Naturschutz, BfN) is organising an international expert workshop at the International Academy for Nature Conservation, on the Isle of Vilm, to bring together practitioners from Germany and other EU countries who are working on conservation-poverty links. The participants will explore how synergies between nature conservation and poverty reduction can be used to implement existing strategies and concepts. Possible outcomes will be a set of recommendations and links for further exchange and future action.","en","D0055",,"Rudolf.Specht@BfN.de",".  linking nature conservation and poverty reduction the german federal agency for nature conservation bundesamt fuer naturschutz bfn is organising an international expert workshop at the international academy for nature conservation on the isle of v",,,NULL,NULL
"7","E0006","E","2006-09-05","CITES and Livelihoods","5th - 7th September 2006, Cape Town, South Africa","A workshop on the links between the Convention on International Trade in Endangered Species (CITES) and local livelihoods took place on 5-7 September 2006 at the Kirstenbosch Botanical Garden, Cape Town South Africa. The purpose of the meeting was to identify practical measures that will allow Parties to better address livelihood issues in the course of regulating the international trade in wild species. The workshop was prompted by an amendment, passed in 2004, to CITES Resolution Conf 8.3. This recognizes that the implementation of CITES-listing decisions should take into account potential impacts on the livelihoods of the poor.","en","D0026",,"barney.dickson@fauna-flora.org",".  cites and livelihoods a workshop on the links between the convention on international trade in endangered species cites and local livelihoods took place on 5 7 september 2006 at the kirstenbosch botanical garden cape town south africa the purpose",,,NULL,NULL
"8","E0007","E","2006-08-12","African Leadership Seminar on People and Conservation","12th -19th August 2006, South Africa and Mozambique","Funded by the USDA Forest Service Office - International Programs and led by the University of KwaZulu-Natal, a series of African Leadership Seminars are intended to provide a platform through which current conservation issues, in an African context, can be raised and addressed.","en",,,"www.gsdi.org/SDIA/docs2006/jul06links/1st-AfricanLeadershipSeminar.pdf",".  african leadership seminar on people and conservation funded by the usda forest service office international programs and led by the university of kwazulu natal a series of african leadership seminars are intended to provide a platform through whi",,,NULL,NULL
"9","E0008","E","2006-06-20","Defying Nature’s End, The Africa Context","20th - 24th June 2006, Antanarivo, Madagascar","Conservation International's 2006 symposium focussed on the role that Africa's environment - and in particular its biodiversity - can make to achieving the Millennium Development Goals. A full agenda of the meeting and the Madagascar Declaration can be downloaded from the Symposium Website.","en",,,"http://symposium2006.conservation.org/portal/server.pt",".  defying nature’s end the africa context conservation international s 2006 symposium focussed on the role that africa s environment and in particular its biodiversity can make to achieving the millennium development goals a full agenda of the meeti",,,NULL,NULL
"10","E0009","E","2005-05-09","Innovative Learning for Conservation, Poverty Eradication and Sustainable Development","Southern Africa Region Peer and Practitioner Conference and Project Planning Meeting, University of Stellenbosch, Cape Town, South Africa",,,,,"http://www.wcln.org/index.php?module=pagesetter&func=viewpub&tid=1&pid=115",,,,NULL,NULL
