"1","L0028","World Database on Protected Areas","DB","The World Database on Protected Areas (WDPA), managed by UNEP-WCMC in partnership with the IUCN World Commission on Protected Areas provides the most comprehensive dataset on protected areas worldwide. The WDPA allows you to search protected areas data by site name, country, and international programme or convention","http://www.wdpa.org/",".  world database on protected areas the world database on protected areas wdpa managed by unep wcmc in partnership with the iucn world commission on protected areas provides the most comprehensive dataset on protected areas worldwide the wdpa allows you to search protected areas data by site name country and international programme or convention  .",,
"2","L0029","ODI Bushmeat","RW","ODI Bushmeat is the project website for the Overseas’s Development Institutes project on Wild meat, livelihoods security and conservation in the tropics.","http://www.odi-bushmeat.org/",".  odi bushmeat odi bushmeat is the project website for the overseas’s development institutes project on wild meat livelihoods security and conservation in the tropics  .",,
"3","L0030","Poverty Mapping","RW","Poverty Mapping is a site hosted by UNEP/GRID-Arendal that includes case studies, graphics and publications relating to poverty mapping. This includes work on poverty-conservation mapping.","http://www.povertymap.net/","poverty mapping poverty mapping is a site hosted by unep grid arendal that includes case studies graphics and publications relating to poverty mapping this includes work on poverty conservation mapping",,
"4","L0023","Case Study Database","DB","Case Study Database is an online tool hosted by the Centre for Community-Based Resource Management at the University of Manitoba, providing searchable access to hundreds of case studies of community based management including papers in scientific journals, book chapters, case studies, and Masters and PhD dissertations.","http://www.umanitoba.ca/institutes/natural_resources/nri_cbrm_database.html","case study database case study database is an online tool hosted by the centre for community based resource management at the university of manitoba providing searchable access to hundreds of case studies of community based management including papers in scientific journals book chapters case studies and masters and phd dissertations",,
"5","L0064","<A HREF=\"http://www.cbd.int/gbo/\">Global Biodiversity Outlook (GBO)</A>","PS","The second meeting of the Conference of the Parties called for the preparation of a periodic report on biological diversity: the Global Biodiversity Outlook (GBO). It suggested that the GBO should provide a summary of the status of biological diversity and an analysis of the steps being taken by the global community to ensure that biodiversity is conserved and used sustainably, and that benefits arising from the use of genetic resources are shared equitably.<BR><A HREF=\"http://gbo3.cbd.int/\">Global Biodiversity Outlook 3</A> summarizes the latest data on status and trends of biodiversity and draws conclusions for the future strategy of the Convention. GBO-3 is based on a range of information sources, including National Reports, biodiversity indicators information, scientific literature, and a study assessing biodiversity scenarios for the future","http://",".  global biodiversity outlook gbo the second meeting of the conference of the parties called for the preparation of a periodic report on biological diversity the global biodiversity outlook gbo it suggested that the gbo should provide a summary of the status of biological diversity and an analysis of the steps being taken by the global community to ensure that biodiversity is conserved and used sustainably and that benefits arising from the use of genetic resources are shared equitably global biodiversity outlook 3 summarizes the latest data on status and trends of biodiversity and draws conclusions for the future strategy of the convention gbo 3 is based on a range of information sources including national reports biodiversity indicators information scientific literature and a study assessing biodiversity scenarios for the future  .",,
"6","L0025","Digital Library of the Commons","DB","The Digital Library of the Commons (DLC) is a gateway to the international literature on the commons. It includes a comprehensive bibliography of the commons; a keyword thesaurus, and links to relevant reference sources on the study of the commons","http://dlc.dlib.indiana.edu/",".  digital library of the commons the digital library of the commons dlc is a gateway to the international literature on the commons it includes a comprehensive bibliography of the commons; a keyword thesaurus and links to relevant reference sources on the study of the commons  .",,
"7","L0026","EarthTrends","DB","EarthTrends is a database hosted by the World Resources Institute (WRI). It includes data on key environmental and social issues gathered from the world’s leading statistical agencies, along with WRI-generated maps and analyses. To facilitate the comparison of data from different sources, EarthTrends supplements its content with detailed metadata that reports on research methodologies and evaluates the information’s reliability.","http://earthtrends.wri.org/",".  earthtrends earthtrends is a database hosted by the world resources institute wri it includes data on key environmental and social issues gathered from the world’s leading statistical agencies along with wri generated maps and analyses to facilitate the comparison of data from different sources earthtrends supplements its content with detailed metadata that reports on research methodologies and evaluates the information’s reliability  .",,
"8","L0027","Equator Knowledge Zone","DB","The Equator Knowledge Zone is the Equator Initiative's interactive, map-based best practice database. This online tool provides users with information and resources on innovative community projects working at the interface of biodiversity and poverty reduction around the world.","http://www.equatorinitiative.org/knowledgebase/index.php",".  equator knowledge zone the equator knowledge zone is the equator initiative s interactive map based best practice database this online tool provides users with information and resources on innovative community projects working at the interface of biodiversity and poverty reduction around the world  .",,
"9","L0004","Arborvitæ","IS","arborvitae is the IUCN/WWF Forest Conservation Newsletter that is published jointly by WWF and IUCN three times a year to disseminate general current information and share knowledge on key issues and events that impact the forestry sector and on the conservation and sustainable use of forest resources.","http://www.iucn.org/about/work/programmes/forest/fp_resources/fp_resources_publications/fp_resources_specials",".  arborvitæ arborvitae is the iucn wwf forest conservation newsletter that is published jointly by wwf and iucn three times a year to disseminate general current information and share knowledge on key issues and events that impact the forestry sector and on the conservation and sustainable use of forest resources  .",,
"10","L0005","CPR Digest","RW","CPR Digest is a quarterly journal of the International Association for the Study Common Property. Back issues freely available on the IASCP website.","http://www.iasc-commons.org/commons-digest/cpr-digest-archive",".  cpr digest cpr digest is a quarterly journal of the international association for the study common property back issues freely available on the iascp website  .",,
